Original Word,After Doubled Letter Removal
ten,tenn
andres,andreas
xii,xiii
bbi,bibi
planers,planners
sala,salsa
ias,isas
if,iif
nao,nano
palatine,palpatine
ed,edd
rs,rss
hein,henin
mee,meme
mme,meme
role,rolle
paris,parris
haters,heaters
nai,nani
aprox,approx
bays,babys
diller,driller
cmo,como
lynwood,lynnwood
at,aat
mason,manson
zz,zzz
eta,etta
hofmann,hoffmann
hoffman,hoffmann
mas,mass
plating,planting
usr,ussr
archeology,archaeology
rudy,ruddy
have,heave
el,eel
tops,topps
cda,cada
dts,dtds
cels,cells
holy,holly
schafer,schaffer
newbery,newberry
toe,tote
waring,warning
stel,steel
aln,alan
exon,exxon
skilful,skillful
mister,meister
haliburton,halliburton
ucp,uucp
mum,mumm
hof,hoff
bachman,bachmann
op,oop
gos,goss
free,freee
paterson,patterson
cafe,caffe
vil,vill
mm,mmm
sgt,ssgt
gap,gaap
ops,oops
goo,gogo
canons,cannons
lge,lege
stafford,strafford
md,mdd
nnn,nnnn
model,modell
dmo,domo
lps,lsps
om,oom
mp,mpp
embarassed,embarrassed
heater,heather
barret,barrett
iona,ionia
acceso,accesso
integrated,intergrated
aps,asps
johan,johann
jno,jono
indo,indio
ht,htt
refered,referred
sandpoint,standpoint
hot,hoot
xeon,xenon
cris,criss
dsc,dscc
nea,nena
cj,ccj
natale,natalee
file,fille
mods,moods
cres,cress
munchen,muenchen
tho,toho
gia,giga
unfiled,unfilled
os,oos
bos,bobs
tm,ttm
step,steep
apl,aapl
sc,ssc
yan,yann
br,bbr
mwr,mmwr
poly,polly
ns,nss
ansi,ainsi
telecom,telecomm
seger,seeger
do,ddo
tones,totnes
accomodation,accommodation
mie,mime
amory,armory
entre,entree
od,ood
comittment,committment
commitment,committment
ref,reef
mater,matter
reining,reigning
rda,rada
tons,toons
gas,gags
kale,kalle
saha,sasha
su,ssu
rises,risers
sil,sill
oops,ooops
dod,dood
alana,alanna
coos,cocos
sint,stint
fre,fere
bur,burr
sra,sara
philips,phillips
moses,mosses
gale,galle
pies,pipes
ctan,catan
brag,bragg
stubs,stubbs
ken,kenn
camelbak,camelback
filet,fillet
pus,puss
star,starr
coma,comma
hi,hii
amt,amat
fal,fall
gram,gramm
